캐릭터명,영문명,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,성격특성리스트
검은 옷의 칼잡이 AS,Black Clad Sw. (Another Style),,,,,
레이븐 AS,Raven (Another Style),04_data/images/character_art/101000021_s2_rank5_command.png,,,,
붉은 소매의 행상인,Ruby-Sleeved Merchant,04_data/images/character_art/101010201_rank5_command.png,,,,"동방, Itto-Ryu, Land of Mi, Scallywag, Spicy Lover, Sword, Earth"
푸른 빛의 낫잡이 AS,Cyan Scyther (Another Style),04_data/images/character_art/101030161_s2_rank5_command.png,,,,
리나리아,Linaria,04_data/images/character_art/101010211_rank5_command.png,,,,"IDA 스쿨, COA, Sword, Fire"
의협의 사냥꾼,Selfless Seeker,04_data/images/character_art/101050211_rank5_command.png,,,,"총, 무법자, Bow, Earth"
빨간 외투의 화염술사 AS,Red Clad Flam. (Another Style),04_data/images/character_art/101060141_s2_rank5_command.png,,,,
베레토 AS,Velette (Another Style),04_data/images/character_art/101070131_s2_rank5_command.png,,,,
군체 AS,Gunce (Another Style),04_data/images/character_art/2000000009_s2_command.png,,,,
알도 AS,Aldo (Another Style),04_data/images/character_art/101910011_s2_rank5_command.png,,,,
니르야,Nilya,04_data/images/character_art/101060201_rank5_command.png,,,,"Dog lover, Forager, MMA, Nicknamer, Fists, Crystal"
질야,Jilya,04_data/images/character_art/2000000016_command.png,,,,
시온 ES,Shion (Extra Style),04_data/images/character_art/101020031_s3_rank5_command.png,,,,
라이카,Laika,04_data/images/character_art/2000000017_rank5_command.png,,,,
센야 AS,Senya (Another Style),04_data/images/character_art/101020191_s2_rank5_command.png,,,,
먹빛의 책사 AS,Jet Tactician (Another Style),04_data/images/character_art/101000301_s2_rank5_command.png,,,,
구라마루,Kuramaru,04_data/images/character_art/2000000018_command.png,,,,
코마치 AS,Komachi (Another Style),04_data/images/character_art/101040011_s2_rank5_command.png,,,,
빙무의 가희,Hoarfrost Songstress,04_data/images/character_art/101050201_rank5_command.png,,,,"동방, Minstrel, Fairy, Bow, Water"
쿨레르보 AS,Krervo (Another Style),04_data/images/character_art/101000071_s2_rank5_command.png,,,,
카구라메,Kagurame,04_data/images/character_art/101070161_rank5_command.png,,,,"동방, Fairy, 장례, Sharp Ears, Hammer, Shade"
적막의 연기자,Forlorn Thespian,04_data/images/character_art/101010191_rank5_command.png,,,,"마수, 독서가, Sword, Earth"
네코코 ES,Necoco (Extra Style),04_data/images/character_art/101030151_s3_rank5_command.png,,,,
엘실 AS,Elseal (Another Style),04_data/images/character_art/101010161_s2_rank5_command.png,,,,
엠펠,Empel,04_data/images/character_art/101460141_rank5_command.png,,,,"안경, 아틀리에, 독서가, Staff"
