English_Name,Korean_Name,Personalities_Korean,Personalities_Count,Personalities_List
Aldo,Aldo,"Guiding Light, New Radical Dreamers, New Time Drift, Protagonist, Arcadia, Baruoki, Concerto Artes, Demon Sword, Dragon, Forager, Itto-Ryu, Sword, Fire",13,Guiding Light|New Radical Dreamers|New Time Drift|Protagonist|Arcadia|Baruoki|Concerto Artes|Demon Sword|Dragon|Forager|Itto-Ryu|Sword|Fire
Senya,Senya,"Eastern, Avenger, Cursed, Fairy, Hood, Land of Mi, Katana, Fire, Shade",9,Eastern|Avenger|Cursed|Fairy|Hood|Land of Mi|Katana|Fire|Shade
Tsukiha,Tsukiha,"Eastern, Mask, Avenger, Cursed, Fairy, Land of Ro, Royalty, Katana, Fire",9,Eastern|Mask|Avenger|Cursed|Fairy|Land of Ro|Royalty|Katana|Fire
Shigure,Shigure,"Cat lover, Childhood Friend, Eastern, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water",9,Cat lover|Childhood Friend|Eastern|Itto-Ryu|Land of Mi|Mounted|Spicy Lover|Katana|Water
Jet Tactician,Jet Tactician,"Cat lover, Eastern, Bookworm, Gun, Itto-Ryu, Land of Mi, Staff, Fire",8,Cat lover|Eastern|Bookworm|Gun|Itto-Ryu|Land of Mi|Staff|Fire
Sazanca,Sazanca,"Eastern, Arcadia, Dragon Killer, Forager, Glutton, Shield, Ax, Fire",8,Eastern|Arcadia|Dragon Killer|Forager|Glutton|Shield|Ax|Fire
Shion,Shion,"Cat lover, Childhood Friend, Eastern, Itto-Ryu, Land of Mi, Mounted, Katana, Fire",8,Cat lover|Childhood Friend|Eastern|Itto-Ryu|Land of Mi|Mounted|Katana|Fire
Oboro,Oboro,"Cat lover, Eastern, Mask, Itto-Ryu, KMS, Lovesick, Katana, Thunder",8,Cat lover|Eastern|Mask|Itto-Ryu|KMS|Lovesick|Katana|Thunder
Melina,Melina,"Clergy, Minstrel, Sweet tooth, Miner, Royalty, West, Hammer, Water",8,Clergy|Minstrel|Sweet tooth|Miner|Royalty|West|Hammer|Water
Curio,Curio,"IDA School, Sweet tooth, Bookworm, Lost Laboratory, Power to Rule, Katana, Wind, Shade",8,IDA School|Sweet tooth|Bookworm|Lost Laboratory|Power to Rule|Katana|Wind|Shade
