English_Name,Korean_Name,Personalities_Korean,Personalities_Count,Personalities_List
Aldo,Aldo,"Guiding Light, New Radical Dreamers, New Time Drift, Protagonist, Arcadia, Baruoki, Concerto Artes, Demon Sword, Dragon, Forager, Itto-Ryu, Sword, Fire",13,Guiding Light|New Radical Dreamers|New Time Drift|Protagonist|Arcadia|Baruoki|Concerto Artes|Demon Sword|Dragon|Forager|Itto-Ryu|Sword|Fire
Shigure,Shigure,"Cat lover, Childhood Friend, Eastern, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water",9,Cat lover|Childhood Friend|Eastern|Itto-Ryu|Land of Mi|Mounted|Spicy Lover|Katana|Water
Senya,Senya,"Eastern, Avenger, Cursed, Fairy, Hood, Land of Mi, Katana, Fire, Shade",9,Eastern|Avenger|Cursed|Fairy|Hood|Land of Mi|Katana|Fire|Shade
Tsukiha,Tsukiha,"Eastern, Mask, Avenger, Cursed, Fairy, Land of Ro, Royalty, Katana, Fire",9,Eastern|Mask|Avenger|Cursed|Fairy|Land of Ro|Royalty|Katana|Fire
Oboro,Oboro,"Cat lover, Eastern, Mask, Itto-Ryu, KMS, Lovesick, Katana, Thunder",8,Cat lover|Eastern|Mask|Itto-Ryu|KMS|Lovesick|Katana|Thunder
Shion,Shion,"Cat lover, Childhood Friend, Eastern, Itto-Ryu, Land of Mi, Mounted, Katana, Fire",8,Cat lover|Childhood Friend|Eastern|Itto-Ryu|Land of Mi|Mounted|Katana|Fire
Jet Tactician,Jet Tactician,"Cat lover, Eastern, Bookworm, Gun, Itto-Ryu, Land of Mi, Staff, Fire",8,Cat lover|Eastern|Bookworm|Gun|Itto-Ryu|Land of Mi|Staff|Fire
Melina,Melina,"Clergy, Minstrel, Sweet tooth, Miner, Royalty, West, Hammer, Water",8,Clergy|Minstrel|Sweet tooth|Miner|Royalty|West|Hammer|Water
Sazanca,Sazanca,"Eastern, Arcadia, Dragon Killer, Forager, Glutton, Shield, Ax, Fire",8,Eastern|Arcadia|Dragon Killer|Forager|Glutton|Shield|Ax|Fire
Curio,Curio,"IDA School, Sweet tooth, Bookworm, Lost Laboratory, Power to Rule, Katana, Wind, Shade",8,IDA School|Sweet tooth|Bookworm|Lost Laboratory|Power to Rule|Katana|Wind|Shade
Hardy,Hardy,"Sweet tooth, Dog lover, Gun, Outlaw, Weapons, Zoology, Fists, Fire",8,Sweet tooth|Dog lover|Gun|Outlaw|Weapons|Zoology|Fists|Fire
Mazrika,Mazrika,"Beast, Sweet tooth, Hood, Napper, Purgatory, Ax, Water",7,Beast|Sweet tooth|Hood|Napper|Purgatory|Ax|Water
May,May,"Blacksmith, Glasses, Baruoki, Lovesick, Miner, Hammer, Earth",7,Blacksmith|Glasses|Baruoki|Lovesick|Miner|Hammer|Earth
Necoco,Necoco,"Cat lover, Eastern, Animal Talker, Fairy, Land of Mi, Ax, Earth",7,Cat lover|Eastern|Animal Talker|Fairy|Land of Mi|Ax|Earth
Thornbound Witch,Thornbound Witch,"Cat lover, Cursed, Hood, Lovesick, Hammer, Wind, Shade",7,Cat lover|Cursed|Hood|Lovesick|Hammer|Wind|Shade
Nocturne Ninja,Nocturne Ninja,"Cat lover, Eastern, Glutton, Land of Mi, Ninja, Fists, Wind",7,Cat lover|Eastern|Glutton|Land of Mi|Ninja|Fists|Wind
Hozuki,Hozuki,"Cooking, Eastern, Fairy, Land of Shin, Spicy Lover, Bow, Fire",7,Cooking|Eastern|Fairy|Land of Shin|Spicy Lover|Bow|Fire
Vermillion Whip,Vermillion Whip,"Cooking, Eastern, Fairy, Land of Shin, Spicy Lover, Lance, Fire",7,Cooking|Eastern|Fairy|Land of Shin|Spicy Lover|Lance|Fire
Ruby-Sleeved Merchant,Ruby-Sleeved Merchant,"Eastern, Itto-Ryu, Land of Mi, Scallywag, Spicy Lover, Sword, Earth",7,Eastern|Itto-Ryu|Land of Mi|Scallywag|Spicy Lover|Sword|Earth
Noble Blossom,Noble Blossom,"Eastern, Bookworm, Fairy, Land of Ro, Royalty, Lance, Fire",7,Eastern|Bookworm|Fairy|Land of Ro|Royalty|Lance|Fire
Dewey,Dewey,"Glasses, Bookworm, Gun, Lost Laboratory, Lovesick, Fists, Water",7,Glasses|Bookworm|Gun|Lost Laboratory|Lovesick|Fists|Water
Ewan,Ewan,"Glasses, Sweet tooth, Cursed, Miner, Weapons, Hammer, Fire",7,Glasses|Sweet tooth|Cursed|Miner|Weapons|Hammer|Fire
Red Clad Flam.,Red Clad Flam.,"IDA School, Gun, Hood, Lost Laboratory, Fists, Fire, Crystal",7,IDA School|Gun|Hood|Lost Laboratory|Fists|Fire|Crystal
Isuka,Isuka,"IDA School, Bookworm, COA, Lost Laboratory, Power to Rule, Katana, Wind",7,IDA School|Bookworm|COA|Lost Laboratory|Power to Rule|Katana|Wind
Mistrare,Mistrare,"Minstrel, Bookworm, Nicknamer, West, Bow, Wind, Crystal",7,Minstrel|Bookworm|Nicknamer|West|Bow|Wind|Crystal
Cynthia,Cynthia,"Art, Bind, Bookworm, Gourmet, Royalty, Sword, Wind",7,Art|Bind|Bookworm|Gourmet|Royalty|Sword|Wind
Sophia,Sophia,"Art, Bind, Gourmet, Weapons, Zoology, Ax, Water",7,Art|Bind|Gourmet|Weapons|Zoology|Ax|Water
Shionne,Shionne,"Concerto Artes, Cursed, Glutton, Gun, Tales of, Bow, Fire",7,Concerto Artes|Cursed|Glutton|Gun|Tales of|Bow|Fire
Dunarith,Dunarith,"Beast, Animal Talker, Funeral, Purgatory, Staff, Wind",6,Beast|Animal Talker|Funeral|Purgatory|Staff|Wind
Dream Weaver,Dream Weaver,"Beast, Minstrel, Purgatory, Spicy Lover, Staff, Water",6,Beast|Minstrel|Purgatory|Spicy Lover|Staff|Water
Amy,Amy,"Blacksmith, Cooking, Avenger, Spirit-fused, Fists, Wind",6,Blacksmith|Cooking|Avenger|Spirit-fused|Fists|Wind
Nopaew,Nopaew,"Blacksmith, Estrangement, Hood, Miner, Hammer, Wind",6,Blacksmith|Estrangement|Hood|Miner|Hammer|Wind
Alma,Alma,"Cat lover, Glasses, Alchemist, Gun, Bow, Crystal",6,Cat lover|Glasses|Alchemist|Gun|Bow|Crystal
Feinne,Feinne,"Cat lover, Cooking, Baruoki, Demon Sword, Geo, Staff",6,Cat lover|Cooking|Baruoki|Demon Sword|Geo|Staff
Jillfunny,Jillfunny,"Cat lover, Amnesia, Hood, Sword, Water, Crystal",6,Cat lover|Amnesia|Hood|Sword|Water|Crystal
Kikyo,Kikyo,"Cat lover, Eastern, Avenger, Mounted, Ax, Wind",6,Cat lover|Eastern|Avenger|Mounted|Ax|Wind
Riica,Riica,"Cat lover, KMS, Machinery, Miner, Hammer, Earth",6,Cat lover|KMS|Machinery|Miner|Hammer|Earth
Rosetta,Rosetta,"Cat lover, Clergy, Sharp Ears, West, Staff, Fire",6,Cat lover|Clergy|Sharp Ears|West|Staff|Fire
Otoha,Otoha,"Cat lover, Eastern, Land of Mi, Zoology, Katana, Earth",6,Cat lover|Eastern|Land of Mi|Zoology|Katana|Earth
Flammelapis,Flammelapis,"Clergy, Demon Sword, Glutton, Titan, Staff, Water",6,Clergy|Demon Sword|Glutton|Titan|Staff|Water
Thillelille,Thillelille,"Clergy, Sweet tooth, West, Sword, Fire, Shade",6,Clergy|Sweet tooth|West|Sword|Fire|Shade
Yipha,Yipha,"Clergy, Lovesick, Nicknamer, Spicy Lover, Hammer, Wind",6,Clergy|Lovesick|Nicknamer|Spicy Lover|Hammer|Wind
Lingli,Lingli,"Cooking, Eastern, Land of Shin, MMA, Fists, Fire",6,Cooking|Eastern|Land of Shin|MMA|Fists|Fire
Samora,Samora,"Cooking, Dwarf, Gourmet, Miner, Hammer, Fire",6,Cooking|Dwarf|Gourmet|Miner|Hammer|Fire
Levia,Levia,"Dragon Palace, Amnesia, Bind, Fishman, Staff, Water",6,Dragon Palace|Amnesia|Bind|Fishman|Staff|Water
Azami,Azami,"Eastern, Sweet tooth, Land of Mi, Lovesick, Katana, Wind",6,Eastern|Sweet tooth|Land of Mi|Lovesick|Katana|Wind
Izuna,Izuna,"Eastern, Mask, Amnesia, Estrangement, Staff, Thunder",6,Eastern|Mask|Amnesia|Estrangement|Staff|Thunder
Kagurame,Kagurame,"Eastern, Fairy, Funeral, Sharp Ears, Hammer, Shade",6,Eastern|Fairy|Funeral|Sharp Ears|Hammer|Shade
Myunfa,Myunfa,"Eastern, Bind, Land of Shin, Lovesick, Hammer, Earth",6,Eastern|Bind|Land of Shin|Lovesick|Hammer|Earth
Tsubame,Tsubame,"Eastern, Glutton, Land of Mi, Ninja, Fists, Earth",6,Eastern|Glutton|Land of Mi|Ninja|Fists|Earth
Veina,Veina,"Elf, Bookworm, Forager, Zoology, Staff, Wind",6,Elf|Bookworm|Forager|Zoology|Staff|Wind
Ruina,Ruina,"Elf, Glasses, IDA School, Bookworm, Sword, Wind",6,Elf|Glasses|IDA School|Bookworm|Sword|Wind
Ashtear,Ashtear,"Glasses, Scientist, Baruoki, Gun, Fists, Fire",6,Glasses|Scientist|Baruoki|Gun|Fists|Fire
Joker,Joker,"Glasses, Mask, Phantom Thieves of Hearts, Gun, Sword, Fire",6,Glasses|Mask|Phantom Thieves of Hearts|Gun|Sword|Fire
Sevyn,Sevyn,"Glasses, IDA School, Lost Laboratory, Spirit Talker, Staff, Wind",6,Glasses|IDA School|Lost Laboratory|Spirit Talker|Staff|Wind
Claude,Claude,"IDA School, Bookworm, Dragon, Royalty, Bow, Wind",6,IDA School|Bookworm|Dragon|Royalty|Bow|Wind
Alphen,Alphen,"Mask, Amnesia, Concerto Artes, Tales of, Sword, Fire",6,Mask|Amnesia|Concerto Artes|Tales of|Sword|Fire
Biaka,Biaka,"Mask, Gun, Military, Outlaw, Hammer, Wind",6,Mask|Gun|Military|Outlaw|Hammer|Wind
Virtual Reflection,Virtual Reflection,"Mask, Sweet tooth, Hood, Hammer, Earth, Thunder",6,Mask|Sweet tooth|Hood|Hammer|Earth|Thunder
Violet,Violet,"Mask, Phantom Thieves of Hearts, Glutton, Gun, Sword, Earth",6,Mask|Phantom Thieves of Hearts|Glutton|Gun|Sword|Earth
Anabel,Anabel,"Miglance Palace, Sweet tooth, Mounted, Shield, Sword, Water",6,Miglance Palace|Sweet tooth|Mounted|Shield|Sword|Water
Deirdre,Deirdre,"Miglance Palace, Amnesia, Demon Sword, Outlaw, Sword, Earth",6,Miglance Palace|Amnesia|Demon Sword|Outlaw|Sword|Earth
Felmina,Felmina,"Miglance Palace, Hood, Ninja, Outlaw, Fists, Wind",6,Miglance Palace|Hood|Ninja|Outlaw|Fists|Wind
Milsha,Milsha,"Minstrel, Fishman, West, Lance, Earth, Shade",6,Minstrel|Fishman|West|Lance|Earth|Shade
Galliard,Galliard,"Synth Human, Gun, Mounted, Outlaw, Lance, Earth",6,Synth Human|Gun|Mounted|Outlaw|Lance|Earth
Clarte,Clarte,"Amnesia, Geo, West, Staff, Earth, Crystal",6,Amnesia|Geo|West|Staff|Earth|Crystal
Nona,Nona,"Amnesia, Hood, Royalty, Bow, Water, Shade",6,Amnesia|Hood|Royalty|Bow|Water|Shade
Utpalaka,Utpalaka,"Arcadia, Dragon, Dragon Killer, Purgatory, Ax, Thunder",6,Arcadia|Dragon|Dragon Killer|Purgatory|Ax|Thunder
Wryz,Wryz,"Arcadia, Cursed, Dragon, Dragon Killer, Lance, Water",6,Arcadia|Cursed|Dragon|Dragon Killer|Lance|Water
Wenefica,Wenefica,"Avenger, Baruoki, Cursed, Bow, Water, Shade",6,Avenger|Baruoki|Cursed|Bow|Water|Shade
Cyrus Albright,Cyrus Albright,"Bookworm, Traveler, Staff, Fire, Water, Thunder",6,Bookworm|Traveler|Staff|Fire|Water|Thunder
Undercover Scribe,Undercover Scribe,"Bookworm, Gun, Outlaw, Spicy Lover, Fists, Fire",6,Bookworm|Gun|Outlaw|Spicy Lover|Fists|Fire
Kamlanage,Kamlanage,"Chronos Empire, Future Revolutionary, Paradoxical Dreamers' Leader, Prince of Time, Staff, Thunder",6,Chronos Empire|Future Revolutionary|Paradoxical Dreamers' Leader|Prince of Time|Staff|Thunder
Minalca,Minalca,"Chronos Empire, Glutton, Military, Outlaw, Sword, Fire",6,Chronos Empire|Glutton|Military|Outlaw|Sword|Fire
Nilya,Nilya,"Dog lover, Forager, MMA, Nicknamer, Fists, Crystal",6,Dog lover|Forager|MMA|Nicknamer|Fists|Crystal
Mai,Mai,"KOF, Lovesick, MMA, Ninja, Fists, Fire",6,KOF|Lovesick|MMA|Ninja|Fists|Fire
Rovella,Rovella,"Lost Laboratory, Machinery, Military, Outlaw, Bow, Water",6,Lost Laboratory|Machinery|Military|Outlaw|Bow|Water
Altena,Altena,"Beast, Demon Sword, Royalty, Spirit Talker, Bow",5,Beast|Demon Sword|Royalty|Spirit Talker|Bow
Guildna,Guildna,"Beast, Luring Shadow, Royalty, Sword, Fire",5,Beast|Luring Shadow|Royalty|Sword|Fire
Zeviro,Zeviro,"Beast, Hood, Purgatory, Ax, Water",5,Beast|Hood|Purgatory|Ax|Water
Bivette,Bivette,"Cat lover, Animal Talker, Spirit Talker, Staff, Fire",5,Cat lover|Animal Talker|Spirit Talker|Staff|Fire
Elga,Elga,"Cat lover, Amnesia, Hood, Katana, Earth",5,Cat lover|Amnesia|Hood|Katana|Earth
Shannon,Shannon,"Cat lover, Art, KMS, Sword, Wind",5,Cat lover|Art|KMS|Sword|Wind
Prai,Prai,"Clergy, Miner, West, Hammer, Fire",5,Clergy|Miner|West|Hammer|Fire
Lovely,Lovely,"Cooking, Dwarf, Nicknamer, Fists, Fire",5,Cooking|Dwarf|Nicknamer|Fists|Fire
Premaya,Premaya,"Cooking, Lost Laboratory, Machinery, Bow, Earth",5,Cooking|Lost Laboratory|Machinery|Bow|Earth
Nagi,Nagi,"Dragon Palace, Glutton, Royalty, Ax, Earth",5,Dragon Palace|Glutton|Royalty|Ax|Earth
Sheila,Sheila,"Dragon Palace, Fishman, Royalty, Lance, Water",5,Dragon Palace|Fishman|Royalty|Lance|Water
Akane,Akane,"Eastern, Itto-Ryu, Land of Mi, Katana, Fire",5,Eastern|Itto-Ryu|Land of Mi|Katana|Fire
Blooming Blade,Blooming Blade,"Eastern, Itto-Ryu, Land of Mi, Katana, Earth",5,Eastern|Itto-Ryu|Land of Mi|Katana|Earth
