Korean_Name,English_Name,Personalities_List
레이븐 AS,Raven (Another Style),"가면, 기억 상실, 후드, Staff, Earth"
붉은 소매의 행상인,Ruby-Sleeved Merchant,"동방, Itto-Ryu, Land of Mi, Scallywag, Spicy Lover, Sword, Earth"
푸른 빛의 낫잡이 AS,Cyan Scyther (Another Style),"Sweet tooth, 미식, Lost Laboratory, Ax, Wind"
리나리아,Linaria,"IDA 스쿨, COA, Sword, Fire"
의협의 사냥꾼,Selfless Seeker,"총, 무법자, Bow, Earth"
빨간 외투의 화염술사 AS,Red Clad Flam. (Another Style),"IDA 스쿨, 총, 후드, Lost Laboratory, Fists, Fire, Crystal"
베레토 AS,Velette (Another Style),"Chronos Empire, Miner, Hammer, Thunder"
Gunce AS,Gunce (Another Style),
알도 AS,Aldo (Another Style),"Guiding Light, New Radical Dreamers, New Time Drift, Protagonist, 아르카디아, 바르오키, Concerto Artes, Demon Sword, 용, Forager, Itto-Ryu, Sword, Fire"
니르야,Nilya,"Dog lover, Forager, MMA, Nicknamer, Fists, Crystal"
Jilya,Jilya,
시온 ES,Shion (Extra Style),"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Katana, Fire"
Laika,Laika,
센야 AS,Senya (Another Style),"동방, Avenger, Cursed, Fairy, 후드, Land of Mi, Katana, Fire, Shade"
먹빛의 책사 AS,Jet Tactician (Another Style),"Cat lover, 동방, 독서가, 총, Itto-Ryu, Land of Mi, Staff, Fire"
Kuramaru,Kuramaru,
코마치 AS,Komachi (Another Style),"동방, Land of Mi, Lance, Earth"
빙무의 가희,Hoarfrost Songstress,"동방, Minstrel, Fairy, Bow, Water"
쿨레르보 AS,Krervo (Another Style),"안경, 과학자, Forager, KMS, Staff"
카구라메,Kagurame,"동방, Fairy, 장례, Sharp Ears, Hammer, Shade"
적막의 연기자,Forlorn Thespian,"마수, 독서가, Sword, Earth"
네코코 ES,Necoco (Extra Style),"Cat lover, 동방, Animal Talker, Fairy, Land of Mi, Ax, Earth"
엘실 AS,Elseal (Another Style),"독서가, Weapons, Sword, Water"
엠펠,Empel,"안경, 아틀리에, 독서가, Staff"
이드,Id,"프리아레스, Fists, Earth"
Hazama,Hazama,
클라우디아,Klaudia,"요리, 아틀리에, Bow, Water"
라이자,Ryza,"아틀리에, Forager, Miner, Staff, Fire"
이즈나,Izuna,"동방, 가면, 기억 상실, Estrangement, Staff, Thunder"
루프스 AS,Rufus (Another Style),"독서가, Fists, Fire"
까마귀 밤의 밀정,Nocturne Ninja,"Cat lover, 동방, Glutton, Land of Mi, Ninja, Fists, Wind"
세스타 AS,Sesta (Another Style),"Avenger, Katana, Wind"
센야,Senya,"동방, Avenger, Cursed, Fairy, 후드, Land of Mi, Katana, Fire, Shade"
시구레 ES,Shigure (Extra Style),"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water"
링리 AS,Lingli (Another Style),"요리, 동방, Land of Shin, MMA, Fists, Fire"
쿨라,Kula,"Sweet tooth, KOF, MMA, Fists, Water"
쿄,Kyo,"KOF, MMA, Mounted, Fists, Fire"
마이,Mai,"KOF, 상사병, MMA, Ninja, Fists, Fire"
가시나무 저주의 여인,Thornbound Witch,"Cat lover, Cursed, 후드, 상사병, Hammer, Wind, Shade"
테리,Terry,"KOF, MMA, Fists, Earth"
질버 AS,Zilva (Another Style),"미술, Forager, 무법자, Ax, Earth"
우츠하라,Utpalaka,"아르카디아, 용, Dragon Killer, 프리아레스, Ax, Thunder"
도희의 자객,Undercover Scribe,"독서가, 총, 무법자, Spicy Lover, Fists, Fire"
미나르카 AS,Minalca (Another Style),"Chronos Empire, Glutton, 밀리터리, 무법자, Sword, Fire"
Tetra AS,Tetra (Another Style),
피네 AS,Feinne (Another Style),"Cat lover, 요리, 바르오키, Demon Sword, 지오, Staff"
질퍼니,Jillfunny,"Cat lover, 기억 상실, 후드, Sword, Water, Crystal"
Pyggie,Pyggie,
Thysía,Thysía,
마츠리카,Mazrika,"마수, Sweet tooth, 후드, Napper, 프리아레스, Ax, Water"
야쿠모 AS,Yakumo (Another Style),"Estrangement, KMS, Staff, Shade"
Kumos AS,Kumos (Another Style),
전영의 샛별,Virtual Reflection,"가면, Sweet tooth, 후드, Hammer, Earth, Thunder"
아나벨 ES,Anabel (Extra Style),"미글렌스 왕궁, Sweet tooth, Mounted, 방패, Sword, Water"
셴화,Xianhua,"동방, 과학자, 합성인간, KMS, Staff"
쿠치나와,Kuchinawa,"아르카디아, Staff, Earth"
히나기쿠 AS,Daisy (Another Style),"Dog lover, 프리아레스, Spicy Lover, Hammer, Earth"
이벨라 AS,Ewella (Another Style),"엘프, Lance, Water, Crystal"
사잔카,Sazanca,"동방, 아르카디아, Dragon Killer, Forager, Glutton, 방패, Ax, Fire"
멜피피아,Melpiphia,"엘프, 아르카디아, Nicknamer, Sword, Wind"
Iridian (Attack),Iridian (Attack),
Iridian (Defense),Iridian (Defense),
Iridian (Heal),Iridian (Heal),
국화의검색,Blooming Blade,"동방, Itto-Ryu, Land of Mi, Katana, Earth"
틸릴 ES,Thillelille (Extra Style),"Clergy, Sweet tooth, West, Sword, Fire, Shade"
Moke,Moke,
알마 AS,Alma (Another Style),"Cat lover, 안경, 연금술사, 총, Bow, Crystal"
웨네피카,Wenefica,"Avenger, 바르오키, Cursed, Bow, Water, Shade"
사이러스 (협주),Cyrus Albright,"독서가, Traveler, Staff, Fire, Water, Thunder"
오보로,Oboro,"Cat lover, 동방, 가면, Itto-Ryu, KMS, 상사병, Katana, Thunder"
파르티티오,Partitio,"Traveler, Bow, Fire"
티티,Tithi,"Traveler, Fists, Thunder"
세리에스,Cerius,"아르카디아, Dragon Killer, Spicy Lover, Bow, Earth"
류제,Wryz,"아르카디아, Cursed, 용, Dragon Killer, Lance, Water"
폼 AS,Pom (Another Style),"과학자, Forager, 총, Staff"
오를레아 AS,Orleya (Another Style),"Estrangement, Ax, Fire, Thunder"
백자의 마인,Porcelain Pixie,"동방, Bind, Land of Shin, Staff, Earth"
캄라녜쥬,Kamlanage,"Chronos Empire, 미래 혁명가, Paradoxical Dreamers' Leader, 시간의 황자, Staff, Thunder"
베레토,Velette,"Chronos Empire, Miner, Hammer, Thunder"
Gunce,Gunce,
Hyuga,Hyuga,
파리사 AS,Parisa (Another Style),"Minstrel, Cursed, Bow, Fire"
꿈의 음유 시인,Dream Weaver,"마수, Minstrel, 프리아레스, Spicy Lover, Staff, Water"
멜로디 AS,Melody (Another Style),"IDA 스쿨, Estrangement, Staff, Wind"
녹시스 AS,Noahxis (Another Style),"과학자, Hammer, Wind"
펠미나 ES,Felmina (Extra Style),"미글렌스 왕궁, 후드, Ninja, 무법자, Fists, Wind"
엘실,Elseal,"독서가, Weapons, Sword, Water"
프레메아 AS,Premaya (Another Style),"요리, Lost Laboratory, Machinery, Bow, Earth"
심홍의 사자,Crimson Reaper,"가면, 프리아레스, Ax, Water"
Limil,Limil,
피치카 AS,Pizzica (Another Style),"Minstrel, 북방, Bow, Fire"
Pisce,Pisce,
노나 AS,Nona (Another Style),"기억 상실, 후드, 왕족, Bow, Water, Shade"
세스타,Sesta,"Avenger, Katana, Wind"
투바 ES,Toova (Extra Style),"장례, Nicknamer, Spirit-fused, Staff, Earth"
러블리 AS,Lovely (Another Style),"요리, 드워프, Nicknamer, Fists, Fire"
셀리느 AS,Cerrine (Another Style),"안경, IDA 스쿨, 무법자, Fists, Earth"
잔영의 가인,Beautiful Stranger,"기억 상실, Dog lover, KMS, Sword, Earth"
야쿠모,Yakumo,"Estrangement, KMS, Staff, Shade"
Kumos,Kumos,
듀이 AS,Dewey (Another Style),"안경, 독서가, 총, Lost Laboratory, 상사병, Fists, Water"
은주의 구미호,Vermillion Whip,"요리, 동방, Fairy, Land of Shin, Spicy Lover, Lance, Fire"
마리엘 ES,Mariel (Extra Style),"Cat lover, Clergy, Staff"
히이나 AS,Heena (Another Style),"동방, Land of Ro, Machinery, Katana, Wind"
가람배럴 AS,Garambarrel (Another Style),"동방, Cursed, 타이탄, Lance, Wind"
애쉬티어,Ashtear,"안경, 과학자, 바르오키, 총, Fists, Fire"
Korobo,Korobo,
미나르카,Minalca,"Chronos Empire, Glutton, 밀리터리, 무법자, Sword, Fire"
Tetra,Tetra,
Mordy,Mordy,
Minimander,Minimander,
Lord Ukulele,Lord Ukulele,
플람라피스 AS,Flammelapis (Another Style),"Clergy, Demon Sword, Glutton, 타이탄, Staff, Water"
이프,Iphi,"총, Spicy Lover, Staff, Fire, Shade"
꽃피우는 공주,Noble Blossom,"동방, 독서가, Fairy, Land of Ro, 왕족, Lance, Fire"
네코코 AS,Necoco (Another Style),"Cat lover, 동방, Animal Talker, Fairy, Land of Mi, Ax, Earth"
알펜,Alphen,"가면, 기억 상실, Concerto Artes, 테일즈 오브, Sword, Fire"
콜레트,Colette,"Concerto Artes, Dog lover, 테일즈 오브, Staff"
월화의 영애,Moonlight Flower,"IDA 스쿨, Sword, Water"
로이드,Lloyd,"Concerto Artes, 테일즈 오브, Katana, Fire"
시온 (협주),Shionne,"Concerto Artes, Cursed, Glutton, 총, 테일즈 오브, Bow, Fire"
비아카 AS,Biaka (Another Style),"가면, 총, 밀리터리, 무법자, Hammer, Wind"
신시아 AS,Cynthia (Another Style),"미술, Bind, 독서가, 미식, 왕족, Sword, Wind"
클로드 ES,Claude (Extra Style),"IDA 스쿨, 독서가, 용, 왕족, Bow, Wind"
아이샤,Aisha,"Minstrel, Cursed, Staff, Fire, Water"
소이라 AS,Soira (Another Style),"미글렌스 왕궁, Napper, Lance, Wind"
우쿠아지,Uquaji,"Fists, Water"
유키노 AS,Yukino (Another Style),"동방, Fairy, Bow, Water"
레레 AS,Lele (Another Style),"Cat lover, Animal Talker, Staff, Water"
알마,Alma,"Cat lover, 안경, 연금술사, 총, Bow, Crystal"
유인 AS,Yipha (Another Style),"Clergy, 상사병, Nicknamer, Spicy Lover, Hammer, Wind"
아자미 AS,Azami (Another Style),"동방, Sweet tooth, Land of Mi, 상사병, Katana, Wind"
먹빛의 책사,Jet Tactician,"Cat lover, 동방, 독서가, 총, Itto-Ryu, Land of Mi, Staff, Fire"
라디아스 AS,Radias (Another Style),"미글렌스 왕궁, 방패, Sword, Fire"
미유 ES,Miyu (Extra Style),"미글렌스 왕궁, 왕족, Sword, Fire"
녹시스,Noahxis,"과학자, Hammer, Wind"
