캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
레이븐 AS,Raven AS,04_data\images\character_art\icons\101000021_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2025-07-24
붉은 소매의 행상인,Ruby-Sleeved Merchant,04_data\images\character_art\icons\101010201_rank5_command.png,5★ SA,땅,검,"Eastern, Itto-Ryu, Land of Mi, Scallywag, Spicy Lover, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2025-07-10
푸른 빛의 낫잡이 AS,Cyan Scyther (Another Style),04_data\images\character_art\icons\101030161_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2025-06-19
리나리아,Linaria,04_data\images\character_art\icons\101010211_rank5_command.png,4~5★ SA,불,검,"IDA School, COA, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2025-06-05
의협의 사냥꾼,Selfless Seeker,04_data\images\character_art\icons\101050211_rank5_command.png,5★ SA,땅,활,"Gun, Outlaw, Bow, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000005 icon.png|216000004 icon.png,2025-05-22
빨간 외투의 화염술사 AS,Red Clad Flam. (Another Style),04_data\images\character_art\icons\101060141_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|Skill Type 8 64.png|202000006 icon.png|216000003 icon.png,2025-05-08
베레토 AS,Velette AS,04_data\images\character_art\icons\101070131_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 16.png|202000007 icon.png|216000002 icon.png,2025-04-24
Gunce (Another Style),Gunce (Another Style),04_data\images\character_art\icons\2000000009_s2_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2025-04-24
알도 AS,Aldo AS,04_data\images\character_art\icons\101910011_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2025-04-12
니르야,Nilya,04_data\images\character_art\icons\101060201_rank5_command.png,4~5★ SA,결정,권갑,"Dog lover, Forager, MMA, Nicknamer, Fists, Crystal",04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 64.png|202000006 icon.png|216000003 icon.png,2025-04-12
Jilya,Jilya,04_data\images\character_art\icons\2000000016_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2025-04-12
시온 ES,Shion ES,04_data\images\character_art\icons\101020031_s3_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 16.png|202000002 icon.png|216000004 icon.png,2025-04-12
Laika,Laika,04_data\images\character_art\icons\2000000017_rank5_command.png,3~5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2025-04-12
센야 AS,Senya AS,04_data\images\character_art\icons\101020191_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 32.png|Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2025-03-19
